"ITL221NM","No_Companies","GVAPerJob"
"Bedfordshire and Hertfordshire",377,87099.02956121253
"Berkshire, Buckinghamshire and Oxfordshire",698,121856.68714775877
"Cheshire",246,51453.43951482599
"Cornwall and Isles of Scilly",130,72911.42775669109
"Cumbria",318,67119.33274783284
"Derbyshire and Nottinghamshire",323,89965.96333588668
"Devon",266,85290.77150552568
"Dorset and Somerset",789,71767.38530894775
"East Anglia",500,138257.54046626843
"East Wales",206,66131.62111252679
"East Yorkshire and Northern Lincolnshire",159,67772.7972232731
"Eastern Scotland",403,65417.652073221936
"Essex",353,80384.299522642
"Gloucestershire, Wiltshire and Bath/Bristol area",551,132060.5510865813
"Greater Manchester",429,122392.0385941604
"Hampshire and Isle of Wight",315,88514.92400479552
"Herefordshire, Worcestershire and Warwickshire",256,92132.92032131126
"Highlands and Islands",358,67883.04739010573
"Inner London - East",674,63964.422599887585
"Inner London - West",1401,76111.94230471553
"Kent",278,85586.5595717768
"Lancashire",266,86571.23614948154
"Leicestershire, Rutland and Northamptonshire",553,71193.7919511611
"Lincolnshire",114,71373.40274684211
"Merseyside",183,135789.6114856061
"North Eastern Scotland",136,36736.57569599433
"North Yorkshire",1164,166382.38144729089
"Northern Ireland",292,140273.739478854
"Northumberland, and Tyne and Wear",231,112578.05298382197
"Outer London - East and North East",227,80597.92845293813
"Outer London - South",182,45957.39302755124
"Outer London - West and North West",322,140106.73191662595
"Shropshire and Staffordshire",277,94199.45910489433
"South Yorkshire",223,61419.42604592952
"Southern Scotland",136,72919.67108483046
"Surrey, East and West Sussex",580,76709.3242497743
"Tees Valley and Durham",148,115213.15453528868
"West Central Scotland",243,77296.50968392137
"West Midlands",297,97298.52288671378
"West Wales and The Valleys",263,84793.85138284677
"West Yorkshire",314,64618.74248867375
NA,24,176923.3231802211
