"ITL221NM","No_sites","GVAPerJob"
"Cheshire",479,61577.323377779736
"Cumbria",198,84579.71841350872
"East Yorkshire and Northern Lincolnshire",309,66218.40529723109
"Greater Manchester",918,88465.97787646357
"Lancashire",516,99598.82036874713
"Merseyside",456,88294.21096889496
"North Yorkshire",409,130142.97178614743
"Northumberland, and Tyne and Wear",734,99995.6436576673
"South Yorkshire",462,85804.45989842746
"Tees Valley and Durham",428,105104.42307272217
"West Yorkshire",736,60906.93882359455
