"ITL221NM","No_Companies","GVA","Turnover","Employees","InnovateFunding","DealroomFunding"
"Cheshire",383,1253714507.21825,14980161201,24707,13196666,47589999.037999995
"Cumbria",438,337274647.05786,1100970879,5067,5803311,3569999.994
"East Yorkshire and Northern Lincolnshire",259,1271349903.11138,9696106525,18813,3000843,55589999.609
"Greater Manchester",680,2018979068.64927,9252015545,16574,3177215,123930000.30499999
"Lancashire",425,562713034.97163,2703358500,7095,8331878,39719999.849
"Merseyside",268,498483663.76365995,953614567,3731,4714696,7429999.812
"North Yorkshire",1715,4447733820.84898,97645135033,27397,58607510,167150002.889
"Northumberland, and Tyne and Wear",412,2111964273.9765,9849194338,19304,427961463,455919985.698
"South Yorkshire",326,613518646.77279,2729849637,10023,13753390,525499990.056
"Tees Valley and Durham",256,510855127.20947,4246174725,4590,4192939,48060000.603
"West Yorkshire",467,692842156.96356,4718958554,10730,368862,679219999.9990001
