"LAD21NM","RGN21NM","No_Companies","GVA","Turnover","Employees"
"Hartlepool","North East",42,156631531.18077162,440128722.8268337,874.8484320557492
"Middlesbrough","North East",42,102430426.01586644,739089352.7506669,779.9616028708134
"Redcar and Cleveland","North East",100,71629663.64566755,641367258.8641421,731.467729789631
"Stockton-on-Tees","North East",82,194147486.45874086,1135226531.1122763,1520.761544630682
"Darlington","North East",67,112676460.03552434,356027004.8162785,766.3597102512379
"Halton","North West",63,98489999.7757896,417995724.93279374,1219.1549517074284
"Warrington","North West",202,313760042.6801257,7276612379.28715,8079.053332495768
"Blackburn with Darwen","North West",56,20839927.709985957,256695038.11520603,497.0313583683203
"Blackpool","North West",39,38065993.00833419,137067864.80294788,411.67898760440755
"Kingston upon Hull, City of","Yorkshire and The Humber",93,95384115.1688009,848496397.1594329,1279.2295011722856
"East Riding of Yorkshire","Yorkshire and The Humber",215,769979054.7758399,3503049644.482349,11363.737356678783
"North East Lincolnshire","Yorkshire and The Humber",168,132969809.03781919,439903131.6079161,1546.6136636120045
"North Lincolnshire","Yorkshire and The Humber",67,97329812.97633292,690118973.8025442,1276.5585192050262
"York","Yorkshire and The Humber",126,69350471.74238583,581514071.6289806,961.2545805392633
"County Durham","North East",275,155802037.68151578,519757604.31125396,1811.0945110447224
"Cheshire East","North West",271,166287664.61318672,857668488.1972296,3237.642799679537
"Cheshire West and Chester","North West",275,584496530.0830687,2559088042.2809916,14011.762277878644
"Northumberland","North East",136,116107837.6889882,1376867532.3637474,1271.418896629203
"Allerdale","North West",44,30671418.23805372,131973689.07610336,490.6008172143446
"Barrow-in-Furness","North West",52,98157997.42650576,137306033.39809835,663.20315641805
"Carlisle","North West",61,40191862.59183471,173341904.3402262,718.2060836949174
"Copeland","North West",20,20065454.274326604,70084663.65649419,445.2264116172785
"Eden","North West",195,17875260.90791399,50340928.51401515,222.31834521687463
"South Lakeland","North West",96,40403699.921178035,144480109.7455339,546.6612013942538
"Burnley","North West",35,10198967.59079841,53076275.53359062,179.6780303030303
"Chorley","North West",75,20547620.23056413,47511559.802961744,331.7118910501263
"Fylde","North West",87,49008832.423597045,112412713.10667312,1020.2387250161187
"Hyndburn","North West",23,23925520.429507613,66459281.375972115,232.68498256905337
"Lancaster","North West",87,160068951.07038274,385474362.91183823,931.3623807736811
"Pendle","North West",33,59449621.9901778,98471130.9898374,493.8841463414634
"Preston","North West",79,157586096.61257643,378831305.386938,1392.0089458735506
"Ribble Valley","North West",22,17481407.279933486,38026868.45454545,188.37878787878788
"Rossendale","North West",14,6350557.96751,9122596.5,83
"South Ribble","North West",57,25179431.523537584,48560175.68650961,292.9300987274048
"West Lancashire","North West",60,28137187.623385087,104338169.72810169,489.3274154923091
"Wyre","North West",52,101957224.52817643,378894945.7262788,712.9452644057104
"Craven","Yorkshire and The Humber",24,4791364.414781666,60783292.78431372,96.74019607843137
"Hambleton","Yorkshire and The Humber",79,43481381.48610995,129045984.42634533,494.79684475416184
"Harrogate","Yorkshire and The Humber",282,61714665.60678078,168234467.15613872,596.376391024114
"Richmondshire","Yorkshire and The Humber",22,10005287.716187805,92251403.80192891,180.31878686433924
"Ryedale","Yorkshire and The Humber",44,13425774.657057805,45577823.07317073,273.1341463414634
"Scarborough","Yorkshire and The Humber",28,21785078.219609473,52876444.49637335,216.17989797545036
"Selby","Yorkshire and The Humber",93,545391342.1923801,9907510370.517298,2850.2073150028673
"Bolton","North West",96,34648460.38825226,88274519.32424888,551.7949224923683
"Bury","North West",85,31228489.615864385,124307867.77126305,440.7354997943233
"Manchester","North West",387,907366660.1136366,5078575982.375407,6752.518108665209
"Oldham","North West",67,62236694.41235385,270443443.01496756,846.3794671345687
"Rochdale","North West",56,26791616.26534043,170511108.12517428,334.9176961250132
"Salford","North West",139,128919539.6730119,556613220.3992088,1626.4123526664198
"Stockport","North West",127,43536056.08770934,376774203.69601274,695.2965996081758
"Tameside","North West",90,40465713.26826409,155361217.2157555,423.7306628580286
"Trafford","North West",381,114885191.58451495,696118048.802211,1754.3262959999813
"Wigan","North West",151,1075945818.8757105,1723519410.2133334,8173.975976137997
"Knowsley","North West",66,395339429.7261642,1400494682.7849452,3895.282317536265
"Liverpool","North West",354,173823997.0499557,564936588.1182113,2203.317466131782
"St. Helens","North West",69,43854814.39932525,168308029.87879845,514.5864214612211
"Sefton","North West",62,62113603.19354591,168588836.0899612,685.987214779081
"Wirral","North West",167,118222513.53844601,325876775.1335634,1210.5637534116697
"Barnsley","Yorkshire and The Humber",168,111375061.29791626,599629890.8495309,1284.9522109186796
"Doncaster","Yorkshire and The Humber",217,190086801.32970265,788105943.2506076,2446.249133098166
"Rotherham","Yorkshire and The Humber",73,61208960.06301838,304885770.7656832,759.9272016796635
"Sheffield","Yorkshire and The Humber",197,268388811.2124005,631356326.4136934,3436.495223999519
"Newcastle upon Tyne","North East",243,576644425.762524,1868985719.855193,4484.185043218139
"North Tyneside","North East",104,360114587.43186635,1363069188.468209,3286.1203197342925
"South Tyneside","North East",41,79042582.66318634,245157541.76425743,726.1519812842984
"Sunderland","North East",171,377351883.8229839,2299023206.909343,4159.7530900557995
"Bradford","Yorkshire and The Humber",158,96090429.8953603,586647621.1800569,1624.2752255226715
"Calderdale","Yorkshire and The Humber",89,61343853.62518716,164718587.5105049,913.4454711294824
"Kirklees","Yorkshire and The Humber",131,58678381.3757017,112030640.95756924,710.4814504070526
"Leeds","Yorkshire and The Humber",664,739160598.2854464,9274586260.098068,14289.406359053108
"Wakefield","Yorkshire and The Humber",118,136199999.27622306,855838488.3990822,2727.890485781122
"Gateshead","North East",250,324887721.80512184,616827878.7692542,3310.4972835792573
